fdc_id,protein_g,fat_g,carbs_g,calories,description
167512,5.88,13.24,41.18,307.0,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough"
167513,4.34,11.27,53.42,330.0,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough"
167514,6.1,3.7,79.8,377.0,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry"
167515,8.0,1.8,46.0,232.0,"George Weston Bakeries, Thomas English Muffins"
167516,6.58,9.22,41.05,273.0,"Waffles, buttermilk, frozen, ready-to-heat"
167517,7.42,9.49,48.39,309.0,"Waffle, buttermilk, frozen, ready-to-heat, toasted"
167518,6.92,9.4,44.16,289.0,"Waffle, buttermilk, frozen, ready-to-heat, microwaved"
167519,6.71,9.91,45.41,298.0,"Waffle, plain, frozen, ready-to-heat, microwave"
167520,5.1,24.83,64.3,501.0,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust"
167521,6.08,22.42,64.48,484.0,"Pie Crust, Cookie-type, Chocolate, Ready Crust"
167522,2.17,11.5,44.54,290.0,"Pie, Dutch Apple, Commercially Prepared"
167523,5.52,28.74,46.79,468.0,"Pie crust, deep dish, frozen, unbaked, made with enriched flour"
167524,5.8,10.1,45.68,297.0,"Waffles, chocolate chip, frozen, ready-to-heat"
167525,6.15,23.38,64.43,474.0,"Tostada shells, corn"
167526,7.12,17.12,47.84,374.0,"Bread, salvadoran sweet cheese (quesadilla salvadorena)"
167527,7.06,17.45,51.29,390.0,"Bread, pound cake type, pan de torta salvadoran"
167528,5.48,18.5,47.76,379.0,"Pastry, Pastelitos de Guava (guava pastries)"
167529,14.25,13.35,64.35,433.0,"Crackers, snack, Goya Crackers"
167530,7.01,20.37,64.55,484.0,"Crackers, cream, Gamesa Sabrosas"
167531,7.19,19.5,64.88,464.0,"Crackers, cream, La Moderna Rikis Cream Crackers"
167532,10.66,2.15,43.91,238.0,"Bread, white wheat"
167533,10.2,1.53,48.89,250.0,"Bagels, wheat"
167534,4.41,18.52,37.43,334.0,"Cream puff, eclair, custard or cream filled, iced"
167535,8.01,7.58,49.27,297.0,"Tortillas, ready-to-bake or -fry, flour, shelf stable"
167536,33.2,25.6,11.0,410.0,"Snacks, beef jerky, chopped and formed"
167537,6.17,33.36,57.27,539.0,"Snacks, corn-based, extruded, chips, plain"
167538,7.0,32.7,56.2,523.0,"Snacks, corn-based, extruded, chips, barbecue-flavor"
167539,5.8,26.9,62.9,510.0,"Snacks, corn-based, extruded, cones, plain"
167540,1.0,2.68,82.82,359.0,"Snacks, fruit leather, pieces"
167541,0.1,3.0,85.8,371.0,"Snacks, fruit leather, rolls"
167542,10.1,19.8,64.4,471.0,"Snacks, granola bars, hard, plain"
167543,7.7,25.5,62.0,495.0,"Snacks, granola bars, hard, almond"
167544,7.6,17.8,66.4,448.0,"Snacks, granola bars, soft, uncoated, raisin"
167545,5.8,24.9,63.8,466.0,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip"
167546,8.72,20.18,67.41,473.0,"Candies, honey-combed, with peanut butter"
167547,10.2,31.1,53.4,508.0,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter"
167548,9.8,20.0,62.2,432.0,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip"
167549,7.29,43.55,45.06,583.0,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat"
167550,9.7,3.1,80.1,384.0,"Snacks, popcorn, cakes"
167551,6.4,7.8,80.7,400.0,"Snacks, popcorn, caramel-coated, with peanuts"
167552,3.8,12.8,79.1,431.0,"Snacks, popcorn, caramel-coated, without peanuts"
167553,4.56,26.14,64.76,502.0,"Snacks, potato chips, made from dried potatoes, reduced fat"
167554,6.6,37.0,51.3,547.0,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor"
167555,10.04,2.93,80.39,384.0,"Snacks, pretzels, hard, plain, salted"
167556,7.5,16.7,70.9,457.0,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor"
167557,7.6,3.8,81.5,392.0,"Snacks, rice cakes, brown rice, sesame seed"
167558,7.1,20.68,67.78,472.0,"Snacks, tortilla chips, plain, white corn, salted"
167559,7.36,27.42,60.81,519.0,"Snacks, tortilla chips, nacho cheese"
167560,7.19,24.63,62.74,501.0,"Snacks, tortilla chips, ranch-flavor"
167561,13.8,29.4,44.9,462.0,"Snacks, trail mix, regular"
167562,4.13,26.93,59.51,479.0,"Candies, ALMOND JOY Candy Bar"
167563,2.97,1.7,79.38,338.0,"Candies, TWIZZLERS CHERRY BITES"
167564,2.0,7.5,80.89,388.0,"Candies, NESTLE, BIT-O'-HONEY Candy Chews"
167565,5.4,18.9,72.9,459.0,"Candies, NESTLE, BUTTERFINGER Bar"
167566,1.59,3.31,87.73,387.0,"Candies, caramels, chocolate-flavor roll"
167567,12.1,47.7,36.2,472.0,"Baking chocolate, unsweetened, liquid"
167568,14.32,52.31,28.42,642.0,"Baking chocolate, unsweetened, squares"
167569,5.87,27.0,63.94,522.0,"Candies, confectioner's coating, yogurt"
167570,18.3,29.8,46.88,529.0,"Candies, confectioner's coating, peanut butter"
167571,5.87,32.09,59.24,539.0,"Candies, white chocolate"
167572,4.78,4.83,29.46,180.0,"Ice creams, vanilla, light"
167573,3.5,16.2,22.29,249.0,"Ice creams, vanilla, rich"
167574,4.53,4.03,22.78,145.0,"Desserts, flan, caramel custard, prepared-from-recipe"
167575,3.5,11.0,23.6,207.0,"Ice creams, vanilla"
167576,4.9,2.6,21.8,126.0,"Ice creams, vanilla, light, soft-serve"
167577,1.1,2.0,30.4,144.0,"Sherbet, orange"
167578,3.78,6.59,77.75,387.0,"Candies, fudge, peanut butter, prepared-from-recipe"
167579,1.05,5.45,82.15,383.0,"Candies, fudge, vanilla, prepared-from-recipe"
167580,3.0,13.69,74.61,435.0,"Candies, fudge, vanilla with nuts"
167581,9.7,34.0,53.0,512.0,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts"
167582,5.4,21.6,64.8,475.0,"Candies, NESTLE, BABY RUTH Bar"
167583,2.56,2.32,79.16,348.0,"Candies, TWIZZLERS Strawberry Twists Candy"
167584,0.0,0.09,72.43,291.0,"Syrups, table blends, pancake, with butter"
167585,5.0,7.19,25.7,187.0,"Ice creams, chocolate, light"
167586,7.5,27.5,60.4,519.0,"Candies, NESTLE, CHUNKY Bar"
167587,7.65,29.66,59.4,535.0,"Candies, milk chocolate"
167588,2.76,1.7,19.74,105.0,"Puddings, banana, dry mix, instant, prepared with 2% milk"
167589,2.9,1.73,18.43,101.0,"Puddings, banana, dry mix, regular, prepared with 2% milk"
167590,5.65,8.2,40.24,257.0,"Andrea's, Gluten Free Soft Dinner Roll"
167591,10.91,15.92,67.18,456.0,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free"
167592,2.19,17.89,76.03,474.0,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme"
167593,2.19,18.79,77.34,487.0,"Glutino, Gluten Free Cookies, Vanilla Creme"
167594,9.42,18.42,65.81,467.0,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original"
167595,11.16,17.29,64.7,459.0,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan"
167596,9.67,18.93,65.11,469.0,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza"
167597,3.13,10.7,52.83,320.0,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread"
167598,5.4,8.02,51.15,298.0,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread"
167599,7.25,9.34,49.09,309.0,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread"
167600,11.8,11.6,44.29,329.0,"Udi's, Gluten Free, Whole Grain Dinner Rolls"
167601,3.31,4.55,40.32,215.0,"Van's, Gluten Free, Totally Original Pancakes"
167602,15.34,1.39,46.24,259.0,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry"
167603,1.86,0.17,5.62,31.0,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated"
167604,1.75,0.08,19.16,84.0,"Potatoes, hash brown, refrigerated, unprepared"
167605,3.24,10.3,33.99,242.0,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil"
167606,2.16,8.92,35.58,182.0,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing"
167607,22.3,1.5,0.0,103.0,"Moose, meat, raw (Alaska Native)"
167608,5.8,2.4,22.6,135.0,"Mashu roots, raw (Alaska Native)"
167609,24.38,4.89,3.43,155.0,"Moose, liver, braised (Alaska Native)"
167610,26.7,0.4,0.0,110.0,"Seal, bearded (Oogruk), meat, raw (Alaska Native)"
167611,0.56,99.6,0.0,899.0,"Oil, bearded seal (Oogruk) (Alaska Native)"
167612,11.7,2.2,0.0,67.0,"Oopah (tunicate), whole animal (Alaska Native)"
167613,22.7,5.0,0.0,136.0,"Owl, horned, flesh, raw (Alaska Native)"
167614,23.2,5.9,0.0,150.0,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)"
167615,39.9,30.0,0.0,430.0,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)"
167616,16.6,8.0,4.3,156.0,"Fish, salmon, king, chinook, liver (Alaska Native)"
167617,20.2,0.4,0.0,84.0,"Duck, scoter, white-winged, meat (Alaska Native)"
167618,13.0,0.4,0.0,56.0,"Sea cucumber, yane (Alaska Native)"
167619,19.3,3.8,0.0,111.0,"Squirrel, ground, meat (Alaska Native)"
167620,0.0,0.0,0.2,1.0,"Tea, tundra, herb and laborador combination (Alaska Native)"
167621,57.0,2.6,0.0,251.0,"Walrus, meat, dried (Alaska Native)"
167622,21.5,2.66,0.0,116.0,"Deer (venison), sitka, raw (Alaska Native)"
167623,0.4,96.5,0.0,870.0,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)"
167624,12.6,46.1,0.0,465.0,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)"
167625,0.0,100.0,0.0,900.0,"Oil, whale, bowhead (Alaska Native)"
167626,11.0,4.4,5.1,104.0,"Fish, whitefish, broad, liver (Alaska Native)"
167627,0.66,0.49,11.74,54.0,"Mush, blue corn with ash (Navajo)"
167628,10.4,5.44,76.93,398.0,"Cornmeal, blue (Navajo)"
167629,0.84,0.2,4.06,21.0,"Melon, banana (Navajo)"
167630,0.81,0.63,8.68,44.0,Chilchen (Red Berry Beverage) (Navajo)
167631,9.88,5.22,74.93,386.0,"Corn, dried (Navajo)"
167632,0.31,0.15,3.22,16.0,"Squash, Indian, cooked, boiled (Navajo)"
167633,4.29,2.21,39.47,195.0,"Bread, kneel down (Navajo)"
167634,33.43,11.09,0.08,234.0,"Mutton, cooked, roasted (Navajo)"
167635,6.69,12.22,48.26,330.0,"Frybread, made with lard (Navajo)"
167636,6.28,6.12,18.12,153.0,Tamales (Navajo)
167637,8.82,3.75,10.8,112.0,"Stew, steamed corn (Navajo)"
167638,20.53,2.92,1.81,116.0,"Fish, halibut, raw, with skin (Alaska Native)"
167639,22.56,5.57,0.0,140.0,"Fish, salmon, coho (silver), raw (Alaska Native)"
167640,1.22,0.76,12.31,61.0,"Blueberries, wild, raw (Alaska Native)"
167641,0.0,99.32,0.0,894.0,"Oil, spotted seal (Alaska Native)"
167642,27.31,5.76,0.0,161.0,"Fish, salmon, red, canned, bones removed (Alaska Native)"
167643,14.66,2.88,4.89,104.0,"Fish, whitefish, eggs (Alaska Native)"
167644,52.06,5.23,0.0,255.0,"Caribou, rump meat, half dried (Alaska Native)"
167645,35.19,7.26,0.0,206.0,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)"
167646,24.5,4.75,0.0,141.0,"Fish, salmon, red, (sockeye), kippered (Alaska Native)"
167647,23.19,12.95,0.0,209.0,"Fish, salmon, king, with skin, kippered, (Alaska Native)"
167648,22.25,2.84,0.0,115.0,"Fish, sheefish, raw (Alaska Native)"
167649,21.44,1.3,0.0,97.0,"Buffalo, free range, top round steak, raw (Shoshone Bannock)"
167650,62.38,2.31,0.0,270.0,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)"
167651,32.51,1.8,0.0,146.0,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)"
167652,19.74,2.1,0.0,98.0,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)"
167653,14.48,10.64,66.27,419.0,"Corn, dried, yellow (Northern Plains Indians)"
167654,56.19,17.9,0.0,386.0,"Smelt, dried (Alaska Native)"
167655,8.38,10.14,46.01,309.0,"Frybread, made with lard (Apache)"
167656,7.91,8.31,29.35,224.0,Corned beef and potatoes in tortilla (Apache)
167657,13.19,11.05,19.28,229.0,"ON THE BORDER, soft taco with ground beef, cheese and lettuce"
167658,12.56,10.81,17.92,219.0,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce"
167659,12.02,5.06,20.03,174.0,"Restaurant, Latino, chicken and rice, entree, prepared"
167660,11.31,18.37,31.19,335.0,"Restaurant, Latino, empanadas, beef, prepared"
167661,5.59,9.01,31.49,229.0,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)"
167662,11.72,13.25,22.39,256.0,"Restaurant, Latino, pupusas con queso (pupusas, cheese)"
167663,11.51,10.43,23.02,232.0,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)"
167664,3.48,7.21,26.68,186.0,"Restaurant, Latino, tamale, corn"
167665,3.28,5.29,31.16,185.0,"Restaurant, Mexican, spanish rice"
167666,6.91,6.77,16.79,156.0,"Restaurant, Mexican, refried beans"
167667,8.28,11.94,27.29,250.0,"Restaurant, Chinese, egg rolls, assorted"
167668,4.05,2.96,32.79,174.0,"Restaurant, Chinese, fried rice, without meat"
167669,3.26,13.18,30.87,255.0,"CRACKER BARREL, steak fries"
167670,31.52,8.52,0.0,203.0,"CRACKER BARREL, grilled sirloin steak"
167671,6.46,11.51,15.58,192.0,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu"
167672,3.41,14.13,35.2,282.0,"DENNY'S, french fries"
167673,28.9,7.34,0.14,182.0,"DENNY'S, top sirloin steak"
167674,11.87,13.55,20.61,252.0,"Restaurant, Chinese, lemon chicken"
167675,12.9,16.36,23.99,295.0,"Restaurant, Chinese, general tso's chicken"
167676,9.76,6.98,6.87,129.0,"Restaurant, Chinese, kung pao chicken"
167677,4.77,2.35,20.16,121.0,"Restaurant, Chinese, vegetable lo mein, without meat"
167678,8.18,4.56,5.38,95.0,"Restaurant, Chinese, chicken and vegetables"
167679,14.46,12.68,22.46,262.0,"Restaurant, Chinese, orange chicken"
167680,5.79,3.59,16.4,121.0,"Restaurant, Italian, spaghetti with meat sauce"
167681,0.45,0.04,87.38,218.0,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame"
167682,0.0,0.0,2.1,11.0,"Pectin, liquid"
167683,6.4,10.1,26.11,221.0,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated"
167684,1.5,14.0,7.0,160.0,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie"
167685,11.5,19.3,2.6,230.0,"Bologna, beef and pork, low fat"
167686,4.3,1.0,37.7,167.0,"Milk dessert, frozen, milk-fat free, chocolate"
167687,3.0,13.1,23.6,224.0,"Whipped topping, frozen, low fat"
167688,1.9,15.7,73.4,431.0,"Cream substitute, powdered, light"
167689,10.16,29.32,56.89,529.0,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies"
167690,0.8,1.6,19.5,93.0,"Babyfood, apple yogurt dessert, strained"
167691,0.0,53.0,0.0,465.0,"Vegetable oil-butter spread, reduced calorie"
167692,2.1,2.7,13.2,86.0,"Salad dressing, blue or roquefort cheese dressing, light"
167693,0.4,13.0,27.0,227.0,"Salad dressing, french dressing, reduced calorie"
167694,22.7,23.0,0.7,307.0,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked"
167695,5.95,31.79,3.06,322.0,"Mayonnaise, made with tofu"
167696,12.0,9.5,1.6,140.0,"Frankfurter, beef, low fat"
167697,4.1,2.0,5.3,56.0,"Milk, buttermilk, fluid, cultured, reduced fat"
167698,13.7,37.63,2.36,407.0,"Pork sausage rice links, brown and serve, cooked"
167699,1.52,1.01,25.6,115.0,"Salad dressing, blue or roquefort cheese dressing, fat-free"
167700,0.2,2.7,15.5,84.0,"Salad Dressing, mayonnaise-like, fat-free"
167701,3.2,17.5,71.22,443.0,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar"
167702,0.11,99.98,0.0,884.0,"Oil, flaxseed, cold pressed"
167703,12.4,1.0,3.2,74.0,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced"
167704,1.8,35.0,2.0,326.0,"Salad dressing, bacon and tomato"
167705,41.6,29.99,3.7,451.0,"Cheese, parmesan, low sodium"
167706,0.0,0.1,37.6,151.0,"Jams, preserves, marmalade, reduced sugar"
167707,0.25,0.16,91.0,227.0,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie"
167708,0.6,0.1,4.59,22.0,"Tomato and vegetable juice, low sodium"
167709,27.4,12.41,0.0,221.0,"Turkey, wing, smoked, cooked, with skin, bone removed"
167710,27.9,9.8,0.0,200.0,"Turkey, drumstick, smoked, cooked, with skin, bone removed"
167711,0.64,0.4,10.68,49.0,"Beverages, Chocolate-flavored drink, whey and milk based"
167712,37.04,41.78,1.43,541.0,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium"
167713,29.3,5.0,0.0,162.0,"Turkey, light or dark meat, smoked, cooked, skin and bone removed"
167714,2.7,0.2,25.61,115.0,"Hearts of palm, raw"
167715,10.93,2.06,80.65,339.0,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size"
167716,10.9,1.0,3.0,67.0,"Cheese, cottage, lowfat, 1% milkfat, with vegetables"
167717,23.88,0.9,20.42,185.0,Yeast extract spread
167718,0.0,0.0,11.86,43.0,"Babyfood, juice, pear"
167719,21.28,12.77,8.51,234.0,"Chicken, meatless, breaded, fried"
167720,3.5,2.1,8.72,69.0,"Babyfood, meat, beef with vegetables, toddler"
167721,1.41,1.41,24.11,115.0,"Frozen novelties, juice type, juice with cream"
167722,3.5,1.8,15.96,94.0,Tofu yogurt
167723,0.5,0.0,5.0,134.0,"Alcoholic beverage, rice (sake)"
167724,13.0,3.4,80.0,354.0,"Millet, puffed"
167725,10.0,3.0,78.0,380.0,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY"
167726,0.8,0.8,16.23,75.0,"Babyfood, mixed fruit yogurt, strained"
167727,5.16,4.52,19.88,141.0,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink"
167728,6.7,2.4,86.89,396.0,"Babyfood, rice and apples, dry"
167729,0.2,0.1,11.2,47.0,"Babyfood, juice, apple - cherry"
167730,1.6,2.0,5.3,46.0,"Milk, imitation, non-soy"
167731,6.6,0.9,88.5,389.0,"Babyfood, cereal, rice with pears and apple, dry, instant fortified"
167732,1.0,0.2,21.34,91.0,"Babyfood, banana no tapioca, strained"
167733,0.3,0.2,16.3,68.0,"Babyfood, banana apple dessert, strained"
167734,4.4,7.5,72.8,376.0,"Breakfast bar, corn flake crust with fruit"
167735,27.5,17.1,3.1,280.0,"Cheese, mozzarella, low sodium"
167736,0.0,77.8,0.3,688.0,"Mayonnaise dressing, no cholesterol"
167737,0.0,100.0,0.0,884.0,"Oil, corn, peanut, and olive"
167738,0.41,0.2,44.38,181.0,"Pie fillings, blueberry, canned"
167739,0.08,0.01,71.6,287.0,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen"
167740,10.08,3.0,74.42,365.0,"Puddings, chocolate flavor, low calorie, regular, dry mix"
167741,1.6,0.1,86.04,351.0,"Puddings, all flavors except chocolate, low calorie, regular, dry mix"
167742,20.54,0.84,5.41,111.0,"Mollusks, scallop, (bay and sea), cooked, steamed"
167743,0.0,0.0,73.14,269.0,"Syrup, Cane"
167744,16.1,1.4,2.0,90.0,"Mollusks, snail, raw"
167745,19.8,0.5,0.0,89.0,"Turtle, green, raw"
167746,1.1,0.3,9.32,29.0,"Lemons, raw, without peel"
167747,0.35,0.24,6.9,22.0,"Lemon juice, raw"
167748,0.45,0.07,5.62,17.0,"Lemon juice from concentrate, canned or bottled"
167749,1.5,0.3,16.0,47.0,"Lemon peel, raw"
167750,0.73,0.51,9.57,41.0,"Prickly pears, raw"
167751,0.96,0.16,28.08,107.0,"Plums, dried (prunes), stewed, without added sugar"
167752,1.09,0.22,32.88,124.0,"Plums, dried (prunes), stewed, with added sugar"
167753,0.61,0.03,17.45,71.0,"Prune juice, canned"
167754,0.76,0.04,9.62,38.0,"Pummelo, raw"
167755,1.2,0.65,11.94,52.0,"Raspberries, raw"
167756,0.83,0.12,23.36,91.0,"Raspberries, canned, red, heavy syrup pack, solids and liquids"
167757,0.7,0.16,26.16,103.0,"Raspberries, frozen, red, sweetened"
167758,0.9,0.2,4.54,21.0,"Rhubarb, raw"
167759,0.44,1.1,19.96,83.0,"Sapodilla, raw"
167760,1.45,0.46,32.1,124.0,"Sapote, mamey, raw"
167761,1.0,0.3,16.84,66.0,"Soursop, raw"
167762,0.67,0.3,7.68,32.0,"Strawberries, raw"
167763,2.8,0.6,62.5,239.0,"Tamarinds, raw"
167764,0.41,0.1,22.36,86.0,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids"
167765,0.61,0.15,7.55,30.0,"Watermelon, raw"
167766,0.22,0.21,41.97,165.0,"Maraschino cherries, canned, drained"
167767,0.51,0.11,15.56,60.0,"Pineapple, canned, juice pack, drained"
167768,0.64,0.11,21.31,83.0,"Apricots, canned, heavy syrup, drained"
167769,0.69,0.21,10.45,42.0,"Cherries, sour, canned, water pack, drained"
167770,0.73,0.21,21.07,83.0,"Cherries, sweet, canned, pitted, heavy syrup, drained"
167771,0.1,0.13,11.3,46.0,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid"
167772,0.17,0.1,11.27,42.0,"Applesauce, canned, unsweetened, with added ascorbic acid"
167773,0.18,0.18,19.91,76.0,"Applesauce, canned, sweetened, with salt"
167774,0.5,0.1,9.2,39.0,"Grapefruit juice, pink, raw"
167775,0.14,0.1,11.54,47.0,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid"
167776,0.39,0.16,15.01,63.0,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)"
167777,0.33,0.14,14.94,62.0,"Pears, raw, red anjou"
167778,0.36,0.09,16.1,67.0,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)"
167779,0.44,0.1,15.79,66.0,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)"
167780,2.1,0.2,65.1,257.0,Prune puree
167781,0.34,0.07,82.74,322.0,Candied fruit
167782,1.5,0.1,17.6,69.0,"Abiyuch, raw"
167783,2.3,2.0,23.9,111.0,"Rowal, raw"
167784,0.09,0.06,16.25,63.0,"Guava nectar, canned, with added ascorbic acid"
167785,0.11,0.06,13.12,51.0,"Mango nectar, canned"
167786,0.09,0.12,14.73,57.0,"Tamarind nectar, canned"
167787,0.15,0.29,13.13,54.0,"Pomegranate juice, bottled"
167788,0.56,1.28,22.79,95.0,"Nance, canned, syrup, drained"
167789,0.66,1.16,16.97,73.0,"Nance, frozen, unsweetened"
167790,0.44,0.22,5.9,25.0,"Naranjilla (lulo) pulp, frozen, unsweetened"
167791,1.78,1.26,7.56,44.0,Horned melon (Kiwano)
167792,0.41,0.08,12.2,51.0,Orange Pineapple Juice Blend
167793,0.2,0.18,15.22,63.0,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)"
167794,0.68,0.12,11.54,49.0,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E"
167795,0.42,0.0,15.0,63.0,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO"
167796,0.6,0.26,12.53,53.0,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE"
167797,0.63,0.02,10.9,46.0,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST"
167798,0.63,0.33,13.04,56.0,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS"
167799,0.44,0.3,12.37,52.0,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana"
167800,0.12,0.17,11.49,48.0,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium"
167801,0.4,0.07,5.37,24.0,"Lemon juice from concentrate, bottled, CONCORD"
167802,0.47,0.07,5.66,17.0,"Lemon juice from concentrate, bottled, REAL LEMON"
167803,0.75,0.05,40.4,158.0,"Cranberry sauce, whole, canned, OCEAN SPRAY"
167804,1.05,0.04,40.61,160.0,"Cranberry sauce, jellied, canned, OCEAN SPRAY"
167805,0.5,0.1,10.53,44.0,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C"
167806,3.69,0.47,79.65,250.0,Baobab powder
167807,0.31,0.54,13.7,59.0,"Cherry juice, tart"
167808,1.02,0.87,7.99,41.0,"Raspberries, puree, seedless"
167809,1.1,0.97,11.51,55.0,"Raspberries, puree, with seeds"
167810,18.22,14.79,0.0,211.0,"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw"
167811,2.92,88.69,0.0,812.0,"Pork, fresh, backfat, raw"
167812,9.34,53.01,0.0,518.0,"Pork, fresh, belly, raw"
167813,9.25,65.7,0.0,632.0,"Pork, fresh, separable fat, raw"
167814,20.27,10.63,0.0,182.0,"Pork, fresh, leg (ham), rump half, separable lean and fat, raw"
167815,27.03,10.32,0.0,209.0,"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted"
167816,21.81,2.93,0.0,120.0,"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)"
167817,28.86,4.62,0.0,165.0,"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted"
167818,19.74,12.58,0.0,198.0,"Pork, fresh, loin, whole, separable lean and fat, raw"
167819,27.23,13.62,0.0,239.0,"Pork, fresh, loin, whole, separable lean and fat, cooked, braised"
167820,27.32,13.92,0.0,242.0,"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled"
167821,27.09,14.65,0.0,248.0,"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted"
167822,19.56,12.27,0.0,194.0,"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw"
167823,26.54,15.71,0.0,255.0,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised"
167824,23.72,14.35,0.0,231.0,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled"
167825,24.29,16.71,0.0,254.0,"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted"
167826,28.21,13.51,0.0,242.0,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised"
167827,25.61,11.06,0.0,209.0,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled"
167828,27.01,12.8,0.0,231.0,"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted"
167829,21.99,3.71,0.0,127.0,"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw"
167830,26.66,16.28,0.0,261.0,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised"
167831,24.42,13.04,0.0,222.0,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled"
167832,26.99,14.68,0.0,248.0,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted"
167833,21.79,4.8,0.0,136.0,"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw"
