fdc_id,protein_g,fat_g,carbs_g,calories,description
169466,24.38,14.0,0.0,230.0,"Beef, short loin, t-bone steak, separable lean and fat, trimmed to 0"" fat, USDA select, cooked, broiled"
169467,28.45,9.35,0.0,206.0,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled"
169468,26.0,7.36,0.0,177.0,"Beef, short loin, t-bone steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled"
169469,33.9,5.92,0.0,198.0,"Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, select, cooked, braised"
169470,20.48,7.01,0.0,151.0,"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, all grades, raw"
169471,30.24,4.11,0.0,166.0,"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"
169472,29.81,3.37,0.0,158.0,"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled"
169473,25.56,17.86,0.0,270.0,"Beef, ground, 70% lean meat / 30% fat, crumbles, cooked, pan-browned"
169474,23.87,15.37,0.0,241.0,"Beef, ground, 70% lean meat / 30% fat, loaf, cooked, baked"
169475,28.28,9.83,0.0,202.0,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"
169476,27.96,8.34,0.0,187.0,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled"
169477,20.36,6.42,0.0,139.0,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw"
169478,20.35,6.88,0.0,143.0,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw"
169479,27.59,11.07,0.0,210.0,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled"
169480,21.64,4.09,0.0,123.0,"Beef, shoulder pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw"
169481,21.45,4.35,0.11,125.0,"Beef, shoulder pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw"
169482,21.93,3.7,0.0,121.0,"Beef, shoulder pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, select, raw"
169483,20.01,14.42,0.0,215.0,"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169484,26.11,16.59,0.0,259.0,"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked"
169485,19.79,15.42,0.0,224.0,"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
169486,25.85,17.68,0.0,268.0,"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, cooked"
169487,19.06,12.4,0.0,193.0,"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, select, raw"
169488,28.82,18.42,0.0,289.0,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"
169489,17.65,20.98,0.59,267.0,"Beef, brisket, point half, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169490,24.4,27.17,0.0,349.0,"Beef, brisket, point half, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"
169491,19.23,17.98,0.0,244.0,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169492,30.05,18.5,0.0,295.0,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised"
169493,17.16,19.41,0.0,248.0,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169494,26.78,25.12,0.0,341.0,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"
169495,16.98,21.31,0.97,268.0,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
169496,26.41,9.36,0.0,190.0,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted"
