Year,Month,Month_Number,Data_Item,Value,Units,Source
2026,March,3,American processed cheese retail price,4.783,Dollars per pound,BLS
2026,April,4,American processed cheese retail price,4.69,Dollars per pound,BLS
2026,May,5,American processed cheese retail price,4.572,Dollars per pound,BLS
2026,June,6,American processed cheese retail price,4.626,Dollars per pound,BLS
2026,July,7,American processed cheese retail price,4.746,Dollars per pound,BLS
2026,August,8,American processed cheese retail price,4.747,Dollars per pound,BLS
2024,August,8,"Cheddar cheese, natural retail price",5.763,Dollars per pound,BLS
2024,September,9,"Cheddar cheese, natural retail price",5.731,Dollars per pound,BLS
2024,October,10,"Cheddar cheese, natural retail price",5.844,Dollars per pound,BLS
2024,November,11,"Cheddar cheese, natural retail price",5.676,Dollars per pound,BLS
2024,December,12,"Cheddar cheese, natural retail price",5.621,Dollars per pound,BLS
2025,January,1,"Cheddar cheese, natural retail price",5.698,Dollars per pound,BLS
2025,February,2,"Cheddar cheese, natural retail price",5.536,Dollars per pound,BLS
2025,March,3,"Cheddar cheese, natural retail price",5.737,Dollars per pound,BLS
2025,April,4,"Cheddar cheese, natural retail price",5.743,Dollars per pound,BLS
2025,May,5,"Cheddar cheese, natural retail price",5.908,Dollars per pound,BLS
2025,June,6,"Cheddar cheese, natural retail price",5.999,Dollars per pound,BLS
2025,July,7,"Cheddar cheese, natural retail price",6.041,Dollars per pound,BLS
2025,August,8,"Cheddar cheese, natural retail price",6.123,Dollars per pound,BLS
2025,September,9,"Cheddar cheese, natural retail price",6.049,Dollars per pound,BLS
2025,October,10,"Cheddar cheese, natural retail price",NA,Dollars per pound,BLS
2025,November,11,"Cheddar cheese, natural retail price",5.636,Dollars per pound,BLS
2025,December,12,"Cheddar cheese, natural retail price",5.789,Dollars per pound,BLS
2026,January,1,"Cheddar cheese, natural retail price",5.982,Dollars per pound,BLS
2026,February,2,"Cheddar cheese, natural retail price",5.987,Dollars per pound,BLS
2026,March,3,"Cheddar cheese, natural retail price",5.97,Dollars per pound,BLS
2026,April,4,"Cheddar cheese, natural retail price",6.029,Dollars per pound,BLS
2026,May,5,"Cheddar cheese, natural retail price",5.685,Dollars per pound,BLS
2026,June,6,"Cheddar cheese, natural retail price",5.96,Dollars per pound,BLS
2026,July,7,"Cheddar cheese, natural retail price",5.741,Dollars per pound,BLS
2026,August,8,"Cheddar cheese, natural retail price",5.983,Dollars per pound,BLS
2024,August,8,"Ice cream, prepackaged  retail price",6.357,Dollars per half gallon,BLS
2024,September,9,"Ice cream, prepackaged  retail price",6.338,Dollars per half gallon,BLS
2024,October,10,"Ice cream, prepackaged  retail price",6.295,Dollars per half gallon,BLS
2024,November,11,"Ice cream, prepackaged  retail price",6.447,Dollars per half gallon,BLS
2024,December,12,"Ice cream, prepackaged  retail price",6.27,Dollars per half gallon,BLS
2025,January,1,"Ice cream, prepackaged  retail price",6.459,Dollars per half gallon,BLS
2025,February,2,"Ice cream, prepackaged  retail price",6.255,Dollars per half gallon,BLS
2025,March,3,"Ice cream, prepackaged  retail price",6.328,Dollars per half gallon,BLS
2025,April,4,"Ice cream, prepackaged  retail price",6.229,Dollars per half gallon,BLS
2025,May,5,"Ice cream, prepackaged  retail price",6.466,Dollars per half gallon,BLS
2025,June,6,"Ice cream, prepackaged  retail price",6.493,Dollars per half gallon,BLS
2025,July,7,"Ice cream, prepackaged  retail price",6.374,Dollars per half gallon,BLS
2025,August,8,"Ice cream, prepackaged  retail price",6.505,Dollars per half gallon,BLS
2025,September,9,"Ice cream, prepackaged  retail price",6.396,Dollars per half gallon,BLS
2025,October,10,"Ice cream, prepackaged  retail price",NA,Dollars per half gallon,BLS
2025,November,11,"Ice cream, prepackaged  retail price",6.138,Dollars per half gallon,BLS
2025,December,12,"Ice cream, prepackaged  retail price",6.403,Dollars per half gallon,BLS
2026,January,1,"Ice cream, prepackaged  retail price",6.236,Dollars per half gallon,BLS
2026,February,2,"Ice cream, prepackaged  retail price",6.264,Dollars per half gallon,BLS
2026,March,3,"Ice cream, prepackaged  retail price",6.191,Dollars per half gallon,BLS
2026,April,4,"Ice cream, prepackaged  retail price",6.24,Dollars per half gallon,BLS
2026,May,5,"Ice cream, prepackaged  retail price",6.045,Dollars per half gallon,BLS
2026,June,6,"Ice cream, prepackaged  retail price",5.953,Dollars per half gallon,BLS
2026,July,7,"Ice cream, prepackaged  retail price",5.836,Dollars per half gallon,BLS
2026,August,8,"Ice cream, prepackaged  retail price",5.854,Dollars per half gallon,BLS
